url,dsn,vsilist
https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_KING_ISLAND.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_KING_ISLAND.zip,municipality_king_island.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_LATROBE.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_LATROBE.zip,list_future_potential_production_forest_latrobe.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_LATROBE.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_LATROBE.zip,municipality_latrobe.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_LAUNCESTON.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_LAUNCESTON.zip,list_future_potential_production_forest_launceston.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_LAUNCESTON.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_LAUNCESTON.zip,municipality_launceston.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_MEANDER_VALLEY.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_MEANDER_VALLEY.zip,list_future_potential_production_forest_meander_valley.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_MEANDER_VALLEY.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_MEANDER_VALLEY.zip,municipality_meander_valley.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_NORTHERN_MIDLANDS.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_NORTHERN_MIDLANDS.zip,list_future_potential_production_forest_northern_midlands.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_NORTHERN_MIDLANDS.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_NORTHERN_MIDLANDS.zip,municipality_northern_midlands.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_SORELL.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_SORELL.zip,list_future_potential_production_forest_sorell.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_SORELL.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_SORELL.zip,municipality_sorell.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_SOUTHERN_MIDLANDS.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_SOUTHERN_MIDLANDS.zip,list_future_potential_production_forest_southern_midlands.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_SOUTHERN_MIDLANDS.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_SOUTHERN_MIDLANDS.zip,municipality_southern_midlands.gdb
